"created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
2020-09-03 19:50:00,"Boing_Gaming","These guys. 
#thelastofus2 #thelastofus #joel #ellie #ps4 #playstation4 https://t.co/7IAMvjKMLw","Twitter for Android",71,,,,FALSE,FALSE,0,0,,,"thelastofus2 thelastofus joel ellie ps4 playstation4",,,,,"http://pbs.twimg.com/media/EhA98YDXcAAMBsG.jpg","https://t.co/7IAMvjKMLw","https://twitter.com/Boing_Gaming/status/1301608402808963074/photo/1","photo","http://pbs.twimg.com/media/EhA98YDXcAAMBsG.jpg","https://t.co/7IAMvjKMLw","https://twitter.com/Boing_Gaming/status/1301608402808963074/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Boing_Gaming/status/1301608402808963074","Boing","België","* Gamer - Youtuber *
Playing Local & Online Multiplayer Games.
Visit our channel & Share, Like and Subscribe , Thanks !!
Keep it Multiplayer.","https://t.co/AIBWrigBK5",FALSE,217,650,1,1903,1733,2019-02-16 14:20:31,FALSE,"https://t.co/AIBWrigBK5","https://youtu.be/WgEl5NDuA08",,"https://pbs.twimg.com/profile_banners/1096776339099734016/1583661680","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1236592447746191360/QXi9SErg_normal.jpg"
2020-09-03 19:17:50,"Derk4able","The Last of Us II Livestream #9
https://t.co/C5RyecbQaN
#DeGRA #TheLastofUsPartII #TheLastofUsPart2 #TheLastOfUs #TheLastOfUs2 #gameplay #youtubegaming #3kcreator #ps4 #smallyoutubers #smallyoutubersupport #smallyoutubersunite #smallyoutubercommunity #joel #ellie #abby #dina","Twitter Web App",275,,,,FALSE,FALSE,0,0,,,"DeGRA TheLastofUsPartII TheLastofUsPart2 TheLastOfUs TheLastOfUs2 gameplay youtubegaming 3kcreator ps4 smallyoutubers smallyoutubersupport smallyoutubersunite smallyoutubercommunity joel ellie abby dina",,"youtu.be/0lPFkPftYLU","https://t.co/C5RyecbQaN","https://youtu.be/0lPFkPftYLU",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Derk4able/status/1301600307395399681","DeGRA","Leeds, England","Content creator on YouTube for reviews, reactions, animations and gameplay videos!","https://t.co/aqLQVtIqPr",FALSE,63,91,1,808,113,2011-10-31 15:01:36,FALSE,"https://t.co/aqLQVtIqPr","https://www.youtube.com/c/DeGRAreal",,"https://pbs.twimg.com/profile_banners/402096590/1581030283","http://abs.twimg.com/images/themes/theme19/bg.gif","http://pbs.twimg.com/profile_images/1255545073720340482/lSkt3nsC_normal.jpg"
2020-09-03 17:47:15,"layrart","<U+0001F90E><U+0001F33F><U+0001D683><U+0001D691><U+0001D68E> <U+0001D67B><U+0001D68A><U+0001D69C><U+0001D69D> <U+0001D67E><U+0001D68F> <U+0001D684><U+0001D69C> <U+0001D67F><U+0001D68A><U+0001D69B><U+0001D69D> 2
@Neil_Druckmann  @Naughty_Dog @TroyBakerVA @TheVulcanSalute 

#thelastofus2 #thelastofus #naugthydog #cosplay #photography #videogames #customers #makeup #ps4 #ellie #joel #cosplayers https://t.co/vyDgKbOmu1","Twitter for iPhone",207,,,,FALSE,FALSE,0,0,,,"thelastofus2 thelastofus naugthydog cosplay photography videogames customers makeup ps4 ellie joel cosplayers",,,,,"http://pbs.twimg.com/media/EhAh2BKXkAAJpoF.jpg","https://t.co/vyDgKbOmu1","https://twitter.com/layrart/status/1301577510564573184/photo/1","photo","http://pbs.twimg.com/media/EhAh2BKXkAAJpoF.jpg","https://t.co/vyDgKbOmu1","https://twitter.com/layrart/status/1301577510564573184/photo/1",,"x33030256 x15222083 x434725454 x104574264","Neil_Druckmann Naughty_Dog TroyBakerVA TheVulcanSalute","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/layrart/status/1301577510564573184","Ilaria Layrart","Campania, Italia","<U+0001F1EE><U+0001F1F9>   Artista, disegnatrice, cuoca, naturalista, gamer, cosplayer, amo mangiare, appassionata di anime e manga. Autodidatta nelle mie passioni.",,FALSE,177,897,2,142,292,2013-04-09 18:14:00,FALSE,,,,"https://pbs.twimg.com/profile_banners/1339830690/1599082416","http://abs.twimg.com/images/themes/theme10/bg.gif","http://pbs.twimg.com/profile_images/1301576314726612993/4MGWeX05_normal.jpg"
2020-09-03 16:49:37,"THELASTOFUSEll2","<U+2764><U+FE0F><U+0001F33F>Ellie<U+0001F33F><U+2764><U+FE0F>

#VGPUnite #TCC #SVP
#TheLastofUsPartll #GamerGram #VirtualPhotography #PhotoMode #Ellie #Joel #Gametography #TLOU2 https://t.co/VJP5DX2g5B","Twitter for Android",127,,,,FALSE,FALSE,9,1,,,"VGPUnite TCC SVP TheLastofUsPartll GamerGram VirtualPhotography PhotoMode Ellie Joel Gametography TLOU2",,,,,"http://pbs.twimg.com/media/EhAUpwDXcAEy63G.jpg","https://t.co/VJP5DX2g5B","https://twitter.com/THELASTOFUSEll2/status/1301563008976642049/photo/1","photo","http://pbs.twimg.com/media/EhAUpwDXcAEy63G.jpg http://pbs.twimg.com/media/EhAUqGEWoAEmhWs.jpg","https://t.co/VJP5DX2g5B https://t.co/VJP5DX2g5B","https://twitter.com/THELASTOFUSEll2/status/1301563008976642049/photo/1 https://twitter.com/THELASTOFUSEll2/status/1301563008976642049/photo/1",,,,"fr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/THELASTOFUSEll2/status/1301563008976642049","THE LAST OF US<U+0001F33F>| Ellie & Joel<U+2764><U+FE0F><U+2B50>","","The Last Of US<U+0001F33F><U+2764><U+FE0F><U+2B50>

Ellie and Joel the best duo<U+2B50>,

But I like Abby too.<U+0001F4AF><U+0001F60A>


<U+0001F1EA><U+0001F1F8><U+0001F1FA><U+0001F1F2>",,FALSE,140,323,1,25,24,2020-08-11 23:18:19,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1293326587744735238/S8qbasMn_normal.jpg"
2020-08-29 15:47:55,"THELASTOFUSEll2","<U+2764><U+FE0F><U+0001F496>Ellie and Jesse<U+0001F496><U+2764><U+FE0F>

#VGPUnite #TCC #SVP #TheLastofUsPartII #GamerGram #VirtualPhotography #PhotoMode #ellie #joel #Gametography #TLOU2 https://t.co/hWaidcBhte","Twitter for Android",137,,,,FALSE,FALSE,3,1,,,"VGPUnite TCC SVP TheLastofUsPartII GamerGram VirtualPhotography PhotoMode ellie joel Gametography TLOU2",,,,,"http://pbs.twimg.com/media/EgmWlf-XsAAZMZm.jpg","https://t.co/hWaidcBhte","https://twitter.com/THELASTOFUSEll2/status/1299735541697609730/photo/1","photo","http://pbs.twimg.com/media/EgmWlf-XsAAZMZm.jpg","https://t.co/hWaidcBhte","https://twitter.com/THELASTOFUSEll2/status/1299735541697609730/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/THELASTOFUSEll2/status/1299735541697609730","THE LAST OF US<U+0001F33F>| Ellie & Joel<U+2764><U+FE0F><U+2B50>","","The Last Of US<U+0001F33F><U+2764><U+FE0F><U+2B50>

Ellie and Joel the best duo<U+2B50>,

But I like Abby too.<U+0001F4AF><U+0001F60A>


<U+0001F1EA><U+0001F1F8><U+0001F1FA><U+0001F1F2>",,FALSE,140,323,1,25,24,2020-08-11 23:18:19,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1293326587744735238/S8qbasMn_normal.jpg"
2020-08-31 17:53:55,"THELASTOFUSEll2","<U+0001F3F9><U+0001F33F>The final battle is coming<U+0001F33F><U+0001F3F9>

#VGPUnite #TCC #SVP
#TheLastofUsPartll #GamerGram #VirtualPhotography #PhotoMode #Ellie #Joel #Gametography #TLOU2 https://t.co/38ugFOFUIj","Twitter for Android",146,,,,FALSE,FALSE,10,2,,,"VGPUnite TCC SVP TheLastofUsPartll GamerGram VirtualPhotography PhotoMode Ellie Joel Gametography TLOU2",,,,,"http://pbs.twimg.com/media/EgxGmTgXkAEir-D.jpg","https://t.co/38ugFOFUIj","https://twitter.com/THELASTOFUSEll2/status/1300492026593660929/photo/1","photo","http://pbs.twimg.com/media/EgxGmTgXkAEir-D.jpg http://pbs.twimg.com/media/EgxGms7XcAAQ5Gq.jpg","https://t.co/38ugFOFUIj https://t.co/38ugFOFUIj","https://twitter.com/THELASTOFUSEll2/status/1300492026593660929/photo/1 https://twitter.com/THELASTOFUSEll2/status/1300492026593660929/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/THELASTOFUSEll2/status/1300492026593660929","THE LAST OF US<U+0001F33F>| Ellie & Joel<U+2764><U+FE0F><U+2B50>","","The Last Of US<U+0001F33F><U+2764><U+FE0F><U+2B50>

Ellie and Joel the best duo<U+2B50>,

But I like Abby too.<U+0001F4AF><U+0001F60A>


<U+0001F1EA><U+0001F1F8><U+0001F1FA><U+0001F1F2>",,FALSE,140,323,1,25,24,2020-08-11 23:18:19,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1293326587744735238/S8qbasMn_normal.jpg"
2020-09-02 15:49:20,"THELASTOFUSEll2","<U+0001F33F>Ellie:I'm afraid of ending up alone<U+0001F33F>

#VGPUnite #TCC #SVP
#TheLastofUsPartll #GamerGram #VirtualPhotography #PhotoMode #Ellie #Joel #Gametography #TLOU2 https://t.co/0vOG1cRBDm","Twitter for Android",153,,,,FALSE,FALSE,7,2,,,"VGPUnite TCC SVP TheLastofUsPartll GamerGram VirtualPhotography PhotoMode Ellie Joel Gametography TLOU2",,,,,"http://pbs.twimg.com/media/Eg69RM5X0AoW7Rj.jpg","https://t.co/0vOG1cRBDm","https://twitter.com/THELASTOFUSEll2/status/1301185448170213376/photo/1","photo","http://pbs.twimg.com/media/Eg69RM5X0AoW7Rj.jpg","https://t.co/0vOG1cRBDm","https://twitter.com/THELASTOFUSEll2/status/1301185448170213376/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/THELASTOFUSEll2/status/1301185448170213376","THE LAST OF US<U+0001F33F>| Ellie & Joel<U+2764><U+FE0F><U+2B50>","","The Last Of US<U+0001F33F><U+2764><U+FE0F><U+2B50>

Ellie and Joel the best duo<U+2B50>,

But I like Abby too.<U+0001F4AF><U+0001F60A>


<U+0001F1EA><U+0001F1F8><U+0001F1FA><U+0001F1F2>",,FALSE,140,323,1,25,24,2020-08-11 23:18:19,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1293326587744735238/S8qbasMn_normal.jpg"
2020-09-01 15:58:54,"THELASTOFUSEll2","<U+0001F3F9><U+0001F33F>The final battle<U+0001F33F><U+0001F3F9>

#VGPUnite #TCC #SVP
#TheLastofUsPartll #GamerGram #VirtualPhotography #PhotoMode #Ellie #Joel #Gametography #TLOU2 https://t.co/YiuFEXyELD","Twitter for Android",136,,,,FALSE,FALSE,7,1,,,"VGPUnite TCC SVP TheLastofUsPartll GamerGram VirtualPhotography PhotoMode Ellie Joel Gametography TLOU2",,,,,"http://pbs.twimg.com/media/Eg113o3X0AgFsKP.jpg","https://t.co/YiuFEXyELD","https://twitter.com/THELASTOFUSEll2/status/1300825469571469315/photo/1","photo","http://pbs.twimg.com/media/Eg113o3X0AgFsKP.jpg","https://t.co/YiuFEXyELD","https://twitter.com/THELASTOFUSEll2/status/1300825469571469315/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/THELASTOFUSEll2/status/1300825469571469315","THE LAST OF US<U+0001F33F>| Ellie & Joel<U+2764><U+FE0F><U+2B50>","","The Last Of US<U+0001F33F><U+2764><U+FE0F><U+2B50>

Ellie and Joel the best duo<U+2B50>,

But I like Abby too.<U+0001F4AF><U+0001F60A>


<U+0001F1EA><U+0001F1F8><U+0001F1FA><U+0001F1F2>",,FALSE,140,323,1,25,24,2020-08-11 23:18:19,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1293326587744735238/S8qbasMn_normal.jpg"
2020-08-28 15:47:53,"THELASTOFUSEll2","<U+2764><U+FE0F><U+0001F496>Ellie is very beautifull <U+0001F496><U+2764><U+FE0F>

#VGPUnite #TCC #SVP #TheLastofUsPartII #GamerGram #VirtualPhotography #PhotoMode #ellie #Joel #Gametography #TLOU2 https://t.co/Mpo9HPTT21","Twitter for Android",147,,,,FALSE,FALSE,6,2,,,"VGPUnite TCC SVP TheLastofUsPartII GamerGram VirtualPhotography PhotoMode ellie Joel Gametography TLOU2",,,,,"http://pbs.twimg.com/media/EghM_QRUcAABd3_.jpg","https://t.co/Mpo9HPTT21","https://twitter.com/THELASTOFUSEll2/status/1299373145837764609/photo/1","photo","http://pbs.twimg.com/media/EghM_QRUcAABd3_.jpg","https://t.co/Mpo9HPTT21","https://twitter.com/THELASTOFUSEll2/status/1299373145837764609/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/THELASTOFUSEll2/status/1299373145837764609","THE LAST OF US<U+0001F33F>| Ellie & Joel<U+2764><U+FE0F><U+2B50>","","The Last Of US<U+0001F33F><U+2764><U+FE0F><U+2B50>

Ellie and Joel the best duo<U+2B50>,

But I like Abby too.<U+0001F4AF><U+0001F60A>


<U+0001F1EA><U+0001F1F8><U+0001F1FA><U+0001F1F2>",,FALSE,140,323,1,25,24,2020-08-11 23:18:19,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1293326587744735238/S8qbasMn_normal.jpg"
2020-08-30 17:38:07,"THELASTOFUSEll2","<U+0001F496><U+2764><U+FE0F> Joel protecting Ellie<U+2764><U+FE0F><U+0001F496>

#VGPUnite #TCC #SVP
#TheLastofUsPartll #GamerGram #VirtualPhotography #PhotoMode #Ellie #Joel #Gametography #TLOU2 https://t.co/K5rXyLQ1Ly","Twitter for Android",144,,,,FALSE,FALSE,6,2,,,"VGPUnite TCC SVP TheLastofUsPartll GamerGram VirtualPhotography PhotoMode Ellie Joel Gametography TLOU2",,,,,"http://pbs.twimg.com/media/Egr5Y09XkAAHN7h.jpg","https://t.co/K5rXyLQ1Ly","https://twitter.com/THELASTOFUSEll2/status/1300125660757872645/photo/1","photo","http://pbs.twimg.com/media/Egr5Y09XkAAHN7h.jpg","https://t.co/K5rXyLQ1Ly","https://twitter.com/THELASTOFUSEll2/status/1300125660757872645/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/THELASTOFUSEll2/status/1300125660757872645","THE LAST OF US<U+0001F33F>| Ellie & Joel<U+2764><U+FE0F><U+2B50>","","The Last Of US<U+0001F33F><U+2764><U+FE0F><U+2B50>

Ellie and Joel the best duo<U+2B50>,

But I like Abby too.<U+0001F4AF><U+0001F60A>


<U+0001F1EA><U+0001F1F8><U+0001F1FA><U+0001F1F2>",,FALSE,140,323,1,25,24,2020-08-11 23:18:19,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1293326587744735238/S8qbasMn_normal.jpg"
