"created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
2020-09-08 10:47:03,"GCAnglers","Few #redfish have been running through.. waiting for that water temp to drop a bit so they run a little better...there are a few out..Erik got himself one! https://t.co/iwASpBosBB https://t.co/eLH4GHDld1","Twitter for Android",179,,,,FALSE,FALSE,0,0,,,"redfish",,"pic.twitter.com/iwASpBosBB","https://t.co/iwASpBosBB","https://twitter.com/GCAnglers/status/1303283501047984128/photo/1","http://pbs.twimg.com/media/EhYxnhiX0AUSD_1.jpg","https://t.co/eLH4GHDld1","https://twitter.com/GCAnglers/status/1303283703972585472/photo/1","photo","http://pbs.twimg.com/media/EhYxnhiX0AUSD_1.jpg","https://t.co/eLH4GHDld1","https://twitter.com/GCAnglers/status/1303283703972585472/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GCAnglers/status/1303283703972585472","Gulf Coast Anglers","Alabama, USA","",,FALSE,4,9,0,33,10,2018-12-04 16:39:30,FALSE,,,,"https://pbs.twimg.com/profile_banners/1069994616747888641/1598306407",,"http://pbs.twimg.com/profile_images/1298019437312987136/5Gr5eA9B_normal.jpg"
2020-09-08 08:32:57,"6Q7IwrlnOYOYWLQ","#<U+70D8><U+8C46><U+65E5><U+5B50>
The day of roasting coffee beans.
#<U+53F0><U+7063> #<U+7D05><U+9B5A><U+5496><U+5561> #<U+677E><U+7AF9><U+8ECA><U+7AD9> #<U+5496><U+5561> #<U+5496><U+5561><U+5E97> #<U+5317><U+5C6F> #<U+53F0><U+4E2D><U+5496><U+5561> #<U+53F0><U+4E2D><U+7F8E><U+98DF> #<U+98F2><U+54C1> #<U+9E79><U+9EDE> #<U+751C><U+9EDE> #<U+5E78><U+798F>
#RedFish #coffee #coffeeshop #coffeehouse #taichungfood #trainstation #desserts #Taiwan  #Taichung #cafe
#<U+53F0><U+6E7E> #<U+73C8><U+7432> #<U+30B3><U+30FC><U+30D2><U+30FC> https://t.co/tCshkLN9zd","Twitter for Android",215,,,,FALSE,FALSE,0,0,,,"<U+70D8><U+8C46><U+65E5><U+5B50> <U+53F0><U+7063> <U+7D05><U+9B5A><U+5496><U+5561> <U+677E><U+7AF9><U+8ECA><U+7AD9> <U+5496><U+5561> <U+5496><U+5561><U+5E97> <U+5317><U+5C6F> <U+53F0><U+4E2D><U+5496><U+5561> <U+53F0><U+4E2D><U+7F8E><U+98DF> <U+98F2><U+54C1> <U+9E79><U+9EDE> <U+751C><U+9EDE> <U+5E78><U+798F> RedFish coffee coffeeshop coffeehouse taichungfood trainstation desserts Taiwan Taichung cafe <U+53F0><U+6E7E> <U+73C8><U+7432> <U+30B3><U+30FC><U+30D2><U+30FC>",,,,,"http://pbs.twimg.com/media/EhYS7FuU4AAKFMW.jpg","https://t.co/tCshkLN9zd","https://twitter.com/6Q7IwrlnOYOYWLQ/status/1303249955889360896/photo/1","photo","http://pbs.twimg.com/media/EhYS7FuU4AAKFMW.jpg","https://t.co/tCshkLN9zd","https://twitter.com/6Q7IwrlnOYOYWLQ/status/1303249955889360896/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/6Q7IwrlnOYOYWLQ/status/1303249955889360896","redfishcoffee","<U+53F0><U+4E2D><U+5E02>, <U+53F0><U+7063>","Red Fish Coffee, Taiwanese Coffee Roasters","https://t.co/68yGiH4mUO",FALSE,4,0,0,8,0,2020-08-24 01:41:59,FALSE,"https://t.co/68yGiH4mUO","http://www.facebook.com/redfishcoffee/",,"https://pbs.twimg.com/profile_banners/1297710676324913153/1598248943",,"http://pbs.twimg.com/profile_images/1297711338202886144/phlZJA_g_normal.jpg"
2020-09-02 06:53:53,"6Q7IwrlnOYOYWLQ","#<U+53F0><U+7063> #<U+7D05><U+9B5A><U+5496><U+5561> #<U+677E><U+7AF9><U+8ECA><U+7AD9> #<U+5496><U+5561> #<U+5496><U+5561><U+5E97> #<U+5317><U+5C6F> #<U+53F0><U+4E2D><U+5496><U+5561> #<U+53F0><U+4E2D><U+7F8E><U+98DF> #<U+98F2><U+54C1> #<U+9E79><U+9EDE> #<U+751C><U+9EDE> #<U+5E78><U+798F>
#RedFish #coffee #coffeeshop #coffeehouse #taichungfood #trainstation #desserts #Taiwan  #Taichung #cafe
#<U+53F0><U+6E7E> #<U+73C8><U+7432> #<U+30B3><U+30FC><U+30D2><U+30FC> https://t.co/bt4hxtxWqN","Twitter for Android",175,,,,FALSE,FALSE,4,0,,,"<U+53F0><U+7063> <U+7D05><U+9B5A><U+5496><U+5561> <U+677E><U+7AF9><U+8ECA><U+7AD9> <U+5496><U+5561> <U+5496><U+5561><U+5E97> <U+5317><U+5C6F> <U+53F0><U+4E2D><U+5496><U+5561> <U+53F0><U+4E2D><U+7F8E><U+98DF> <U+98F2><U+54C1> <U+9E79><U+9EDE> <U+751C><U+9EDE> <U+5E78><U+798F> RedFish coffee coffeeshop coffeehouse taichungfood trainstation desserts Taiwan Taichung cafe <U+53F0><U+6E7E> <U+73C8><U+7432> <U+30B3><U+30FC><U+30D2><U+30FC>",,,,,"http://pbs.twimg.com/media/Eg5Cts8U0AEgj1P.jpg","https://t.co/bt4hxtxWqN","https://twitter.com/6Q7IwrlnOYOYWLQ/status/1301050699275333632/photo/1","photo","http://pbs.twimg.com/media/Eg5Cts8U0AEgj1P.jpg","https://t.co/bt4hxtxWqN","https://twitter.com/6Q7IwrlnOYOYWLQ/status/1301050699275333632/photo/1",,,,"und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/6Q7IwrlnOYOYWLQ/status/1301050699275333632","redfishcoffee","<U+53F0><U+4E2D><U+5E02>, <U+53F0><U+7063>","Red Fish Coffee, Taiwanese Coffee Roasters","https://t.co/68yGiH4mUO",FALSE,4,0,0,8,0,2020-08-24 01:41:59,FALSE,"https://t.co/68yGiH4mUO","http://www.facebook.com/redfishcoffee/",,"https://pbs.twimg.com/profile_banners/1297710676324913153/1598248943",,"http://pbs.twimg.com/profile_images/1297711338202886144/phlZJA_g_normal.jpg"
2020-09-03 08:29:14,"6Q7IwrlnOYOYWLQ","#<U+53F0><U+7063> #<U+7D05><U+9B5A><U+5496><U+5561> #<U+677E><U+7AF9><U+8ECA><U+7AD9> #<U+5496><U+5561> #<U+5496><U+5561><U+5E97> #<U+5317><U+5C6F> #<U+53F0><U+4E2D><U+5496><U+5561> #<U+53F0><U+4E2D><U+7F8E><U+98DF> #<U+98F2><U+54C1> #<U+9E79><U+9EDE> #<U+751C><U+9EDE> #<U+5E78><U+798F>
#RedFish #coffee #coffeeshop #coffeehouse #taichungfood #trainstation #desserts #Taiwan  #Taichung #cafe
#<U+53F0><U+6E7E> #<U+73C8><U+7432> #<U+30B3><U+30FC><U+30D2><U+30FC> https://t.co/jkCqaA1eCg","Twitter for Android",175,,,,FALSE,FALSE,2,0,,,"<U+53F0><U+7063> <U+7D05><U+9B5A><U+5496><U+5561> <U+677E><U+7AF9><U+8ECA><U+7AD9> <U+5496><U+5561> <U+5496><U+5561><U+5E97> <U+5317><U+5C6F> <U+53F0><U+4E2D><U+5496><U+5561> <U+53F0><U+4E2D><U+7F8E><U+98DF> <U+98F2><U+54C1> <U+9E79><U+9EDE> <U+751C><U+9EDE> <U+5E78><U+798F> RedFish coffee coffeeshop coffeehouse taichungfood trainstation desserts Taiwan Taichung cafe <U+53F0><U+6E7E> <U+73C8><U+7432> <U+30B3><U+30FC><U+30D2><U+30FC>",,,,,"http://pbs.twimg.com/media/Eg-iH7zUwAECnt3.jpg","https://t.co/jkCqaA1eCg","https://twitter.com/6Q7IwrlnOYOYWLQ/status/1301437081281941506/photo/1","photo","http://pbs.twimg.com/media/Eg-iH7zUwAECnt3.jpg","https://t.co/jkCqaA1eCg","https://twitter.com/6Q7IwrlnOYOYWLQ/status/1301437081281941506/photo/1",,,,"und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/6Q7IwrlnOYOYWLQ/status/1301437081281941506","redfishcoffee","<U+53F0><U+4E2D><U+5E02>, <U+53F0><U+7063>","Red Fish Coffee, Taiwanese Coffee Roasters","https://t.co/68yGiH4mUO",FALSE,4,0,0,8,0,2020-08-24 01:41:59,FALSE,"https://t.co/68yGiH4mUO","http://www.facebook.com/redfishcoffee/",,"https://pbs.twimg.com/profile_banners/1297710676324913153/1598248943",,"http://pbs.twimg.com/profile_images/1297711338202886144/phlZJA_g_normal.jpg"
2020-09-08 08:26:29,"FlatsClass","Fishing is a family outdoor sport that everyone can enjoy. Dave and Julie are proving that every one of their vacations typically includes fishing or #hunting! #fishing #familyfishingtrip @falconrods #shimanoreels #redfish #hellsbayskiffs #flatsclass https://t.co/H7ObZqFTdV","Twitter for iPad",250,,,,FALSE,FALSE,3,1,,,"hunting fishing familyfishingtrip shimanoreels redfish hellsbayskiffs flatsclass",,,,,"http://pbs.twimg.com/media/EhYRcZsX0AAEuQx.jpg","https://t.co/H7ObZqFTdV","https://twitter.com/FlatsClass/status/1303248327878770691/photo/1","photo","http://pbs.twimg.com/media/EhYRcZsX0AAEuQx.jpg","https://t.co/H7ObZqFTdV","https://twitter.com/FlatsClass/status/1303248327878770691/photo/1",,"x456048887","FalconRods","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/FlatsClass/status/1303248327878770691","C.A. Richardson","Pine Ridge, FL","TV Host, Pro Angler, Patriot and Family Man... absolutely no free time but I love it all! Learn more about me at https://t.co/KsFziLGobf","https://t.co/KsFziLGobf",FALSE,5237,2954,74,5836,4874,2009-04-22 01:17:24,FALSE,"https://t.co/KsFziLGobf","http://www.captcarichardson.com",,"https://pbs.twimg.com/profile_banners/34124925/1462312444","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1206747923033313280/wDZvlF68_normal.jpg"
2020-09-02 10:36:11,"FlatsClass","An old pic of Capt. Bryan Watts and myself hoisting up a healthy @FLSportsCoast #redfish up caught near Anclote. @Zmanfishing @Power_Pole #fishingbuddies https://t.co/iAIujxrXAL","Twitter for iPhone",153,,,,FALSE,FALSE,10,0,,,"redfish fishingbuddies",,,,,"http://pbs.twimg.com/media/Eg51l_mX0AIh2Ee.jpg","https://t.co/iAIujxrXAL","https://twitter.com/FlatsClass/status/1301106642847698944/photo/1","photo","http://pbs.twimg.com/media/Eg51l_mX0AIh2Ee.jpg","https://t.co/iAIujxrXAL","https://twitter.com/FlatsClass/status/1301106642847698944/photo/1",,"x796727240881033216 x108627710 x249791612","FLSportsCoast Zmanfishing Power_Pole","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/FlatsClass/status/1301106642847698944","C.A. Richardson","Pine Ridge, FL","TV Host, Pro Angler, Patriot and Family Man... absolutely no free time but I love it all! Learn more about me at https://t.co/KsFziLGobf","https://t.co/KsFziLGobf",FALSE,5237,2954,74,5836,4874,2009-04-22 01:17:24,FALSE,"https://t.co/KsFziLGobf","http://www.captcarichardson.com",,"https://pbs.twimg.com/profile_banners/34124925/1462312444","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1206747923033313280/wDZvlF68_normal.jpg"
2020-09-01 11:15:00,"FlatsClass","Another pumpkin #redfish slides up to the gunnel of my skiff... it happens more than a dozen times a day here in #Louisiana! #flatsclasscharters #stopwatchingfakenews #gooutside #fishingislife #fishing https://t.co/DuhUWXzSIv","Twitter for iPhone",201,,,,FALSE,FALSE,24,0,,,"redfish Louisiana flatsclasscharters stopwatchingfakenews gooutside fishingislife fishing",,,,,"http://pbs.twimg.com/media/Eg004HMWsAE5U55.jpg","https://t.co/DuhUWXzSIv","https://twitter.com/FlatsClass/status/1300754023667191810/photo/1","photo","http://pbs.twimg.com/media/Eg004HMWsAE5U55.jpg","https://t.co/DuhUWXzSIv","https://twitter.com/FlatsClass/status/1300754023667191810/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/FlatsClass/status/1300754023667191810","C.A. Richardson","Pine Ridge, FL","TV Host, Pro Angler, Patriot and Family Man... absolutely no free time but I love it all! Learn more about me at https://t.co/KsFziLGobf","https://t.co/KsFziLGobf",FALSE,5237,2954,74,5836,4874,2009-04-22 01:17:24,FALSE,"https://t.co/KsFziLGobf","http://www.captcarichardson.com",,"https://pbs.twimg.com/profile_banners/34124925/1462312444","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1206747923033313280/wDZvlF68_normal.jpg"
2020-08-31 17:17:36,"61streetpier","#pier #galveston #TX #Texas #gulfofmexico #fishing #dock #pierlife #Redfish #61stpier #61stpier #Galveston #TX #Texas #Fishing #Pier #dock https://t.co/NRPS6AsE3L","IFTTT",138,,,,FALSE,FALSE,1,0,,,"pier galveston TX Texas gulfofmexico fishing dock pierlife Redfish 61stpier 61stpier Galveston TX Texas Fishing Pier dock",,,,,"http://pbs.twimg.com/media/Egw-SxuWkAM3Z2R.jpg","https://t.co/NRPS6AsE3L","https://twitter.com/61streetpier/status/1300482885938446338/photo/1","photo","http://pbs.twimg.com/media/Egw-SxuWkAM3Z2R.jpg","https://t.co/NRPS6AsE3L","https://twitter.com/61streetpier/status/1300482885938446338/photo/1",,,,"und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/61streetpier/status/1300482885938446338","61st Street Pier","Galveston, TX","We are a family friendly fishing pier out in the beautiful Gulf of Mexico.  We offer snacks, drinks, gifts, fishing, rod rentals, and a viewing deck.","http://t.co/zmtxC810Ip",FALSE,1077,467,29,30424,47,2010-12-01 23:39:56,FALSE,"http://t.co/zmtxC810Ip","http://www.61stpier.com",,"https://pbs.twimg.com/profile_banners/221913605/1416678995","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/536204833791803392/8IeBkY2P_normal.jpeg"
2020-09-08 07:17:30,"61streetpier","#pier #galveston #TX #Texas #gulfofmexico #fishing #dock #pierlife #Redfish #61stpier #61stpier #Galveston #TX #Texas #Fishing #Pier #dock https://t.co/aJUqwO1x7P","IFTTT",138,,,,FALSE,FALSE,0,0,,,"pier galveston TX Texas gulfofmexico fishing dock pierlife Redfish 61stpier 61stpier Galveston TX Texas Fishing Pier dock",,,,,"http://pbs.twimg.com/media/EhYBqQWWsAAAoOI.jpg","https://t.co/aJUqwO1x7P","https://twitter.com/61streetpier/status/1303230968724172800/photo/1","photo","http://pbs.twimg.com/media/EhYBqQWWsAAAoOI.jpg","https://t.co/aJUqwO1x7P","https://twitter.com/61streetpier/status/1303230968724172800/photo/1",,,,"und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/61streetpier/status/1303230968724172800","61st Street Pier","Galveston, TX","We are a family friendly fishing pier out in the beautiful Gulf of Mexico.  We offer snacks, drinks, gifts, fishing, rod rentals, and a viewing deck.","http://t.co/zmtxC810Ip",FALSE,1077,467,29,30424,47,2010-12-01 23:39:56,FALSE,"http://t.co/zmtxC810Ip","http://www.61stpier.com",,"https://pbs.twimg.com/profile_banners/221913605/1416678995","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/536204833791803392/8IeBkY2P_normal.jpeg"
2020-09-05 17:17:30,"61streetpier","#pier #galveston #TX #Texas #gulfofmexico #fishing #dock #pierlife #Redfish #61stpier #61stpier #Galveston #TX #Texas #Fishing #Pier #dock https://t.co/dNSkN7SUYA","IFTTT",138,,,,FALSE,FALSE,1,0,,,"pier galveston TX Texas gulfofmexico fishing dock pierlife Redfish 61stpier 61stpier Galveston TX Texas Fishing Pier dock",,,,,"http://pbs.twimg.com/media/EhKuOALWoAU9imU.jpg","https://t.co/dNSkN7SUYA","https://twitter.com/61streetpier/status/1302294799383396354/photo/1","photo","http://pbs.twimg.com/media/EhKuOALWoAU9imU.jpg","https://t.co/dNSkN7SUYA","https://twitter.com/61streetpier/status/1302294799383396354/photo/1",,,,"und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/61streetpier/status/1302294799383396354","61st Street Pier","Galveston, TX","We are a family friendly fishing pier out in the beautiful Gulf of Mexico.  We offer snacks, drinks, gifts, fishing, rod rentals, and a viewing deck.","http://t.co/zmtxC810Ip",FALSE,1077,467,29,30424,47,2010-12-01 23:39:56,FALSE,"http://t.co/zmtxC810Ip","http://www.61stpier.com",,"https://pbs.twimg.com/profile_banners/221913605/1416678995","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/536204833791803392/8IeBkY2P_normal.jpeg"
